,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type
1519,terminal D,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.09424161859330656,0.10494616905196402,0.09866104438485804,non-matching
1520,internal,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.20878602719326803,0.20859808116248524,0.21102544476195362,matching
1521,internal,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.03598623141002868,0.03578503903347,0.038663149488188976,non-matching
1522,terminal A,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.09231870447163687,0.09220204615622965,0.09202129674122718,matching
1523,terminal A,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.2805915384940198,0.2946906045443008,0.28776567976377954,non-matching
1524,terminal B,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.08530311533574823,0.08518645702034103,0.08524536750153909,matching
1525,terminal B,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.27357594935813123,0.28767501540841217,0.3043488973622047,non-matching
1526,terminal C,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.19046061913097523,0.19050402835872382,0.1902556554186333,matching
1527,terminal C,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.17596842755994824,0.16650198606757471,0.17343183437007872,non-matching
1528,terminal D,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.12790295031388366,0.12768590160395346,0.12733872493946236,matching
1529,terminal D,unbalanced,3.3329969454,0.0770548477,9746,254,0.00035987863299207,0.0003578503903347,0.0007122173348845201,0.00046593782637992996,0.00034701909667053004,0.000394024473251835,0.000223222003599975,0.11605370663760375,0.11590290486163259,0.12043875299212597,non-matching
1530,internal,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.1885475808922614,0.19365591969456977,0.1849593659645339,matching
1531,internal,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.15230387746230806,0.15910955601807777,0.13655511460096736,non-matching
1532,terminal A,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.2595387210376781,0.2590153018809334,0.2586671063215912,matching
1533,terminal A,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.4085132020104838,0.4207331820241743,0.4126113303688029,non-matching
1534,terminal B,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.201722317296546,0.20119889813980124,0.20308226446681046,matching
1535,terminal B,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.35069679826935163,0.3629167782830422,0.34873470850665056,non-matching
1536,terminal C,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.38839196393021985,0.3946630323270812,0.3877900784867002,matching
1537,terminal C,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.289048308590584,0.2831702147667135,0.2838004838754534,non-matching
1538,terminal D,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.6320492878221221,0.6473673581537965,0.6343001662640786,matching
1539,terminal D,unbalanced,1.3682773898,0.7332493927,8346,1654,0.0014887703623757578,0.0015910955601807777,0.00046054793407526994,0.001185827383582848,0.0008812858013883539,0.0007044728041980179,0.000942526492569198,0.5864692857109111,0.5997506196960866,0.58066738904474,non-matching
1540,internal,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.06176474854272579,0.06208948019963905,0.06146693020803096,matching
1541,internal,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.06163122103317586,0.061991114826727096,0.06241698568019094,non-matching
1542,terminal A,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.056406233632659696,0.056403700641215256,0.0580448677672956,matching
1543,terminal A,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.09338195527603635,0.09356810388069581,0.09090959033753834,non-matching
1544,terminal B,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.025327557209379573,0.025325024217935133,0.025613895089501692,matching
1545,terminal B,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.06230327885275623,0.06248942745741569,0.06342628965734742,non-matching
1546,terminal C,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.14217661176259005,0.14250698971621556,0.14026830989840347,matching
1547,terminal C,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.0865904898146161,0.08658635534269354,0.08617890583702693,non-matching
1548,terminal D,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.30504533892925967,0.31293409773075187,0.31646255852926947,matching
1549,terminal D,unbalanced,0.1298519505,2.8389248149000004,4134,5866,0.0005788427287855381,0.000619911148267271,5.047923178839801e-05,0.000400042953554524,9.8666148023807e-05,0.000567772451314369,0.00022387023302037801,0.29901010107888715,0.3068636172775468,0.29789054271735427,non-matching
1550,internal,unbalanced,0.64034301,2.643132789,6364,3636,0.000435644636296888,6.2896150844176e-05,6.7891533343972e-05,0.000137036963012852,0.000228329884409724,0.000215236491666096,0.0005626552900445161,0.01105146025666109,0.008042449631842407,0.011394230105279696,matching
1551,internal,unbalanced,0.64034301,2.643132789,6364,3636,0.000435644636296888,6.2896150844176e-05,6.7891533343972e-05,0.000137036963012852,0.000228329884409724,0.000215236491666096,0.0005626552900445161,0.010260396151545387,0.006289615084417601,0.009780532783278329,non-matching
1552,terminal A,unbalanced,0.64034301,2.643132789,6364,3636,0.000435644636296888,6.2896150844176e-05,6.7891533343972e-05,0.000137036963012852,0.000228329884409724,0.000215236491666096,0.0005626552900445161,0.012984163266887937,0.012981535317858794,0.013163269490886234,matching
