Bees,Birds,Mammals,Fungi,Plants,Eudicots,Bacterial (core),Bacterial (non-ribosomal),Bacterial (WoL)
,0.76585647,,,,,,,3.040751089
,0.74401577,,,,,,,0.893678431
,0.97700806,,,,,,,0.342146144
,0.92096944,,,,,,,2.815084259
,0.77385411,,,,,,,0.754339763
,0.89850624,,,,,,,55.5215468
,0.71323777,,,,,,,12578.46868
,0.95991322,,,,,,,2.179008925
,0.67136607,,,,,,,7.432789815
,0.9279738,,,,,,,1.63250205
,0.98233216,,,,,,,0
,0.93349758,,,,,,,0
,0.7361146,,,,,,,0
,0.75455018,,,,,,,0.386907065
,0.74364374,,,,,,,0.386907065
,0.96774638,,,,,,,0.395241295
,0.74608204,,,,,,,0
,0.81484306,,,,,,,0.77381413
,0.90293934,,,,,,,1.302309429
,0.93185777,,,,,,,69.25636462
,0.98690745,,,,,,,1.078244618
,0.89682314,,,,,,,3.288664401
,0.90634742,,,,,,,0.969932105
,0.81714855,,,,,,,23.81450565
,0.95019157,,,,,,,3.120782518
,0.90128947,,,,,,,0.397997583
,0.89263198,,,,,,,5.201881196
,0.83907871,,,,,,,0.222753182
,0.34951492,,,,,,,6.406912773
,0.79278744,,,,,,,13.52814182
,0.78049071,,,,,,,2.541435758
,0.91480675,,,,,,,2.658719198
,0.92189655,,,,,,,3.90372212
,0.91840151,,,,,,,15048.85071
,0.91269535,,,,,,,8.150879067
,0.80369491,,,,,,,106.0124844
,0.92657665,,,,,,,8.283678216
,0.79071481,,,,,,,10.64840476
,0.79298669,,,,,,,15.04455044
,0.81267037,,,,,,,3.061943577
,0.98419799,,,,,,,1.748630713
,0.81895488,,,,,,,7102.839898
,0.84030866,,,,,,,6.423907851
,0.91348914,,,,,,,14015.01146
,1.28315613,,,,,,,9.414307086
,0.45618428,,,,,,,264.7453717
,0.43187408,,,,,,,13.89280203
,0.43548837,,,,,,,8.427138801
,0.83510404,,,,,,,28.5542037
,0.90650511,,,,,,,129.5850353
,1.85803571,,,,,,,9.744399274
,0.57435312,,,,,,,1.939720078
,0.57514116,,,,,,,1.347782173
,0.77477593,,,,,,,0.664957141
,1.5672043,,,,,,,4.324737637
,0.87294263,,,,,,,0.305587212
,0.9092636,,,,,,,5.780453579
,0.74384237,,,,,,,0.667002402
,0.83429403,,,,,,,1.674574264
,0.98452466,,,,,,,13.01175802
,0.91609351,,,,,,,67.1852191
,0.61896208,,,,,,,3.905162451
,0.93296644,,,,,,,1.293832927
,0.57152038,,,,,,,3.784357376
,0.8950052,,,,,,,0.455826346
,0.8768304,,,,,,,1.396046202
,0.79886604,,,,,,,13.35251785
,0.85048013,,,,,,,4.06774256
,0.91970535,,,,,,,4.837497742
,0.88536516,,,,,,,10.67807819
,0.80816892,,,,,,,2.588014057
,0.95082129,,,,,,,2.092172283
