Dataset,Branch Type,l1/l2
Eudicots,terminal,0.428045639
Eudicots,terminal,0.412814872
Eudicots,terminal,0.405019676
Eudicots,terminal,0.390160665
Eudicots,internal,0.356936129
Eudicots,terminal,0.197209515
Eudicots,terminal,0.180195758
Eudicots,internal,0.126045514
Eudicots,terminal,0.028802375
Eudicots,terminal,9.64033633
Eudicots,terminal,9.11604408
Plants(1kp),internal,3.06614186
Plants(1kp),internal,2.95597228
Plants(1kp),internal,2.83802025
Plants(1kp),internal,2.6580909
Plants(1kp),internal,2.50086257
Plants(1kp),internal,2.40905956
Plants(1kp),terminal,2.31417548
Plants(1kp),internal,2.31311683
Plants(1kp),internal,2.25457921
Plants(1kp),internal,2.2190518
Plants(1kp),internal,2.15755066
Plants(1kp),internal,2.09986057
Plants(1kp),terminal,2.07246514
Plants(1kp),terminal,2.04392767
Plants(1kp),terminal,2.03375272
Plants(1kp),internal,2.0284646
Plants(1kp),internal,2.02148454
Plants(1kp),internal,2.00112865
Plants(1kp),terminal,1.99841941
Plants(1kp),internal,1.94845563
Plants(1kp),internal,1.94649978
Plants(1kp),internal,1.94514386
Plants(1kp),internal,1.93635083
Plants(1kp),terminal,1.89475241
Plants(1kp),internal,1.87633642
Plants(1kp),terminal,1.87561367
Plants(1kp),internal,1.87488435
Plants(1kp),terminal,1.87453628
Plants(1kp),terminal,1.85263695
Plants(1kp),internal,1.84897065
Plants(1kp),internal,1.84045795
Plants(1kp),internal,1.83896933
Plants(1kp),internal,1.83338774
Plants(1kp),terminal,1.8185524
Plants(1kp),terminal,1.79272417
Plants(1kp),terminal,1.78852489
Plants(1kp),terminal,1.74385893
Plants(1kp),internal,1.7245767
Plants(1kp),terminal,1.71671123
Plants(1kp),internal,1.71268402
Plants(1kp),terminal,1.62841099
Plants(1kp),terminal,1.62711517
Plants(1kp),terminal,1.61932202
Plants(1kp),terminal,1.61823343
Plants(1kp),internal,1.61697172
Plants(1kp),terminal,1.61301429
Plants(1kp),terminal,1.61219923
Plants(1kp),internal,1.60636788
Plants(1kp),internal,1.60247396
