,condition,genes_num,Method,replicate,time_s,mem_gb
217,gtrees_10000_l1,500,CA-DISCO(RAxML),4,149.99,1.925084
218,gtrees_10000_l1,1000,CA-DISCO(RAxML),4,317.26,3.723264
219,gtrees_10000_l1,10000,CA-DISCO(RAxML),4,7873.82,32.592908
220,gtrees_10000_l1,50,CA-DISCO(RAxML),5,9.23,0.16976
221,gtrees_10000_l1,100,CA-DISCO(RAxML),5,20.55,0.320744
222,gtrees_10000_l1,500,CA-DISCO(RAxML),5,116.03,1.43644
223,gtrees_10000_l1,1000,CA-DISCO(RAxML),5,431.67999999999995,2.830692
224,gtrees_10000_l1,10000,CA-DISCO(RAxML),5,7701.09,24.9349
225,gtrees_10000_l1,50,CA-DISCO(RAxML),6,11.42,0.1935
226,gtrees_10000_l1,100,CA-DISCO(RAxML),6,25.4,0.37764
227,gtrees_10000_l1,500,CA-DISCO(RAxML),6,123.60999999999999,1.603804
228,gtrees_10000_l1,1000,CA-DISCO(RAxML),6,467.25,3.0205
229,gtrees_10000_l1,10000,CA-DISCO(RAxML),6,7301.38,27.684772
230,gtrees_10000_l1,50,CA-DISCO(RAxML),7,12.38,0.225752
231,gtrees_10000_l1,100,CA-DISCO(RAxML),7,23.490000000000002,0.453692
232,gtrees_10000_l1,500,CA-DISCO(RAxML),7,149.93,1.808544
233,gtrees_10000_l1,1000,CA-DISCO(RAxML),7,702.07,3.35446
234,gtrees_10000_l1,10000,CA-DISCO(RAxML),7,9156.35,30.484824
235,gtrees_10000_l1,50,CA-DISCO(RAxML),8,7.5600000000000005,0.134264
236,gtrees_10000_l1,100,CA-DISCO(RAxML),8,12.27,0.245004
237,gtrees_10000_l1,500,CA-DISCO(RAxML),8,89.86,1.345308
238,gtrees_10000_l1,1000,CA-DISCO(RAxML),8,320.79999999999995,2.774016
239,gtrees_10000_l1,10000,CA-DISCO(RAxML),8,7219.76,27.935256
240,gtrees_10000_l1,50,CA-DISCO(RAxML),9,12.26,0.239724
241,gtrees_10000_l1,100,CA-DISCO(RAxML),9,21.87,0.40444
242,gtrees_10000_l1,500,CA-DISCO(RAxML),9,94.58,1.638644
243,gtrees_10000_l1,1000,CA-DISCO(RAxML),9,458.40999999999997,3.13412
244,gtrees_10000_l1,10000,CA-DISCO(RAxML),9,5236.610000000001,28.273508
245,gtrees_10000_l1,50,CA-DISCO(RAxML),10,8.92,0.179788
246,gtrees_10000_l1,100,CA-DISCO(RAxML),10,20.33,0.354296
247,gtrees_10000_l1,500,CA-DISCO(RAxML),10,142.60000000000002,1.663216
248,gtrees_10000_l1,1000,CA-DISCO(RAxML),10,506.96000000000004,3.375668
249,gtrees_10000_l1,10000,CA-DISCO(RAxML),10,5925.8099999999995,31.930524
